company_name,year,pdf_url_original
케이티,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_030200_2-1#page=8
케이티앤지,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_033780_2-1#page=6,7,11-18"
코오롱인더,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_120110_2-1#page=7-8
코웨이,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_021240_2-1#page=98
콜마홀딩스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_024720_2-1#page=2,8,B"
태영건설,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009410_2-1#page=7
팬오션,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_028670_2-1#page=7-10
포스코인터내셔널,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_047050_2-1#page=2,10,17"
포스코퓨처엠,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003670_2-1#page=7
하나금융지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_086790_2-1#page=6-7
하이브,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_352820_2-1#page=8
하이트진로,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000080_2-1#page=9
한국가스공사,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_036460_2-1#page=4
한국콜마,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_161890_2-1#page=6,8,14"
한국타이어앤테크놀로지,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_161390_2-1#page=15
한국항공우주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_047810_2-1#page=5
한미약품,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_128940_2-1#page=9-10
한샘,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009240_2-1#page=2,7"
한세예스24홀딩스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_016450_2-1#page=8,9,11"
한온시스템,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_018880_2-1#page=6,7"
한일시멘트,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_300720_2-1#page=2
한일현대시멘트,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_006390_2-1#page=2
한일홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003300_2-1#page=2
한전KPS,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_051600_2-1#page=5
